,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
42900,Oklahoma City_12/18/90,Oklahoma City,1990.0,12/18/90,Orlando,122-105,Regular Season,-10.5,1.0,17.0,1.0,6.5,Oklahoma City,Orlando,1.0,0.0,
42901,Oklahoma City_12/18/92,Oklahoma City,1992.0,12/18/92,Portland,126-109,Regular Season,-3.0,1.0,17.0,1.0,14.0,Oklahoma City,Portland,2.0,1.0,
42902,Oklahoma City_12/18/93,Oklahoma City,1993.0,12/18/93,Golden State,126-111,Regular Season,-10.0,1.0,15.0,1.0,5.0,Oklahoma City,Golden State,3.0,1.0,
42903,Oklahoma City_12/18/97,Oklahoma City,1997.0,12/18/97,Denver,119-106,Regular Season,-17.0,0.0,13.0,1.0,-4.0,Oklahoma City,Denver,5.0,1.0,
42904,Oklahoma City_12/18/99,Oklahoma City,1999.0,12/18/99,Memphis,112-89,Regular Season,-10.0,1.0,23.0,1.0,13.0,Oklahoma City,Memphis,6.0,0.0,
42905,Oklahoma City_12/19/01,Oklahoma City,2001.0,12/19/01,Sacramento,104-92,Regular Season,-2.0,1.0,12.0,1.0,10.0,Oklahoma City,Sacramento,7.0,1.0,
42906,Oklahoma City_12/19/03,San Antonio,2003.0,12/19/03,@ Oklahoma City,87-73,Regular Season,-5.5,1.0,14.0,1.0,8.5,Oklahoma City,San Antonio,3.0,8.0,5.0
42909,Oklahoma City_12/19/05,Oklahoma City,2005.0,12/19/05,Washington,        111-101,Regular Season,-5.5,1.0,10.0,1.0,4.5,Oklahoma City,Washington,0.0,0.0,24.0
42912,Oklahoma City_12/19/07,New Orleans,2007.0,12/19/07,@ Oklahoma City,        107-93,Regular Season,-3.0,1.0,14.0,1.0,11.0,Oklahoma City,New Orleans,0.0,1.0,6.0
42915,Oklahoma City_12/19/08,Toronto,2008.0,12/19/08,@ Oklahoma City,        83-91,Regular Season,-6.0,0.0,-8.0,0.0,-14.0,Oklahoma City,Toronto,0.0,0.0,22.0
42918,Oklahoma City_12/19/10,Oklahoma City,2010.0,12/19/10,Phoenix,        110-113,Regular Season,-9.5,0.0,-3.0,0.0,-12.5,Oklahoma City,Phoenix,0.0,1.0,9.0
42921,Oklahoma City_12/19/13,Oklahoma City,2013.0,12/19/13,Chicago,        107-95,Regular Season,-13.5,0.0,12.0,1.0,-1.5,Oklahoma City,Chicago,1.0,1.0,3.0
42924,Oklahoma City_12/19/91,Oklahoma City,1991.0,12/19/91,Denver,119-106,Regular Season,-15.5,0.0,13.0,1.0,-2.5,Oklahoma City,Denver,2.0,0.0,
42925,Oklahoma City_12/19/92,Oklahoma City,1992.0,12/19/92,L.A. Clippers,121-101,Regular Season,-6.5,1.0,20.0,1.0,13.5,Oklahoma City,L.A. Clippers,3.0,0.0,
42926,Oklahoma City_12/20/00,Oklahoma City,2000.0,12/20/00,Sacramento,89-85,Regular Season,-3.5,1.0,4.0,1.0,0.5,Oklahoma City,Sacramento,1.0,0.0,
42927,Oklahoma City_12/20/02,Oklahoma City,2002.0,12/20/02,New Orleans,86-88,Regular Season,-3.5,0.0,-2.0,0.0,-5.5,Oklahoma City,New Orleans,2.0,2.0,14.0
42930,Oklahoma City_12/20/06,Dallas,2006.0,12/20/06,@ Oklahoma City,        103-95,Regular Season,-7.5,1.0,8.0,1.0,0.5,Oklahoma City,Dallas,0.0,0.0,4.0
42933,Oklahoma City_12/20/94,Oklahoma City,1994.0,12/20/94,L.A. Clippers,110-79,Regular Season,-17.0,1.0,31.0,1.0,14.0,Oklahoma City,L.A. Clippers,1.0,0.0,
42934,Oklahoma City_12/20/96,Oklahoma City,1996.0,12/20/96,L.A. Clippers,102-86,Regular Season,-15.0,1.0,16.0,1.0,1.0,Oklahoma City,L.A. Clippers,2.0,0.0,
42935,Oklahoma City_12/20/97,Oklahoma City,1997.0,12/20/97,Golden State,108-89,Regular Season,-17.0,1.0,19.0,1.0,2.0,Oklahoma City,Golden State,3.0,0.0,
42936,Oklahoma City_12/21/07,Toronto,2007.0,12/21/07,@ Oklahoma City,        115-123,Regular Season,-5.0,0.0,-8.0,0.0,-13.0,Oklahoma City,Toronto,1.0,0.0,12.0
42939,Oklahoma City_12/21/08,Cleveland,2008.0,12/21/08,@ Oklahoma City,        102-91,Regular Season,-13.0,0.0,11.0,1.0,-2.0,Oklahoma City,Cleveland,0.0,1.0,2.0
42942,Oklahoma City_12/21/91,Oklahoma City,1991.0,12/21/91,Golden State,120-112,Regular Season,-7.0,1.0,8.0,1.0,1.0,Oklahoma City,Golden State,2.0,3.0,
42943,Oklahoma City_12/21/93,Oklahoma City,1993.0,12/21/93,Indiana,91-88,Regular Season,-12.0,0.0,3.0,1.0,-9.0,Oklahoma City,Indiana,3.0,0.0,
42944,Oklahoma City_12/21/95,Oklahoma City,1995.0,12/21/95,Memphis,92-68,Regular Season,-18.0,1.0,24.0,1.0,6.0,Oklahoma City,Memphis,4.0,2.0,
42945,Oklahoma City_12/22/00,Oklahoma City,2000.0,12/22/00,Washington,107-87,Regular Season,-10.5,1.0,20.0,1.0,9.5,Oklahoma City,Washington,0.0,1.0,
42946,Oklahoma City_12/22/01,Oklahoma City,2001.0,12/22/01,Detroit,117-89,Regular Season,-2.5,1.0,28.0,1.0,25.5,Oklahoma City,Detroit,1.0,0.0,
42947,Oklahoma City_12/22/04,Oklahoma City,2004.0,12/22/04,Denver,        98-83,Regular Season,-9.0,1.0,15.0,1.0,6.0,Oklahoma City,Denver,2.0,1.0,3.0
42950,Oklahoma City_12/22/13,Oklahoma City,2013.0,12/22/13,Toronto,        98-104,Regular Season,-10.5,0.0,-6.0,0.0,-16.5,Oklahoma City,Toronto,0.0,0.0,3.0
42953,Oklahoma City_12/22/90,Oklahoma City,1990.0,12/22/90,Sacramento,121-93,Regular Season,-9.0,1.0,28.0,1.0,19.0,Oklahoma City,Sacramento,0.0,0.0,
42954,Oklahoma City_12/22/94,Oklahoma City,1994.0,12/22/94,Dallas,103-101,Regular Season,-10.5,0.0,2.0,1.0,-8.5,Oklahoma City,Dallas,1.0,0.0,
42955,Oklahoma City_12/22/96,Oklahoma City,1996.0,12/22/96,Dallas,93-79,Regular Season,-14.0,0.0,14.0,1.0,0.0,Oklahoma City,Dallas,2.0,0.0,
42956,Oklahoma City_12/23/03,Oklahoma City,2003.0,12/23/03,Phoenix,116-90,Regular Season,-5.5,1.0,26.0,1.0,20.5,Oklahoma City,Phoenix,0.0,1.0,20.0
42959,Oklahoma City_12/23/05,Dallas,2005.0,12/23/05,@ Oklahoma City,        101-98,Regular Season,-3.0,0.0,3.0,1.0,0.0,Oklahoma City,Dallas,0.0,1.0,2.0
42962,Oklahoma City_12/23/06,Oklahoma City,2006.0,12/23/06,Toronto,        110-97,Regular Season,-5.0,1.0,13.0,1.0,8.0,Oklahoma City,Toronto,0.0,0.0,23.0
42965,Oklahoma City_12/23/93,Oklahoma City,1993.0,12/23/93,Phoenix,86-87,Regular Season,-5.5,0.0,-1.0,0.0,-6.5,Oklahoma City,Phoenix,2.0,2.0,
42966,Oklahoma City_12/23/95,Oklahoma City,1995.0,12/23/95,Washington,118-100,Regular Season,-9.5,1.0,18.0,1.0,8.5,Oklahoma City,Washington,0.0,1.0,
42967,Oklahoma City_12/23/97,Oklahoma City,1997.0,12/23/97,Minnesota,103-112,Regular Season,-11.5,0.0,-9.0,0.0,-20.5,Oklahoma City,Minnesota,1.0,2.0,
42968,Oklahoma City_12/25/10,Oklahoma City,2010.0,12/25/10,Denver,        114-106,Regular Season,-6.5,1.0,8.0,1.0,1.5,Oklahoma City,Denver,0.0,0.0,9.0
42971,Oklahoma City_12/25/11,Oklahoma City,2011.0,12/25/11,Orlando,        97-89,Regular Season,-7.5,1.0,8.0,1.0,0.5,Oklahoma City,Orlando,1.0,1.0,0.0
42974,Oklahoma City_12/26/02,Oklahoma City,2002.0,12/26/02,Toronto,97-88,Regular Season,-11.5,0.0,9.0,1.0,-2.5,Oklahoma City,Toronto,0.0,0.0,13.0
42977,Oklahoma City_12/26/05,Oklahoma City,2005.0,12/26/05,Boston,        118-111,Regular Season,-4.5,1.0,7.0,1.0,2.5,Oklahoma City,Boston,1.0,0.0,24.0
42980,Oklahoma City_12/26/06,Oklahoma City,2006.0,12/26/06,New Orleans,        102-94,Regular Season,-5.5,1.0,8.0,1.0,2.5,Oklahoma City,New Orleans,2.0,0.0,22.0
42983,Oklahoma City_12/26/09,Oklahoma City,2009.0,12/26/09,Charlotte,        98-91,Regular Season,-6.0,1.0,7.0,1.0,1.0,Oklahoma City,Charlotte,0.0,1.0,15.0
42986,Oklahoma City_12/26/94,Oklahoma City,1994.0,12/26/94,Sacramento,123-103,Regular Season,-10.5,1.0,20.0,1.0,9.5,Oklahoma City,Sacramento,0.0,0.0,
42987,Oklahoma City_12/26/96,Oklahoma City,1996.0,12/26/96,San Antonio,94-86,Regular Season,-14.0,0.0,8.0,1.0,-6.0,Oklahoma City,San Antonio,1.0,0.0,
42988,Oklahoma City_12/26/99,Oklahoma City,1999.0,12/26/99,Philadelphia,86-92,Regular Season,-6.0,0.0,-6.0,0.0,-12.0,Oklahoma City,Philadelphia,3.0,2.0,
42989,Oklahoma City_12/27/01,Oklahoma City,2001.0,12/27/01,L.A. Clippers,101-90,Regular Season,-7.5,1.0,11.0,1.0,3.5,Oklahoma City,L.A. Clippers,1.0,1.0,
42990,Oklahoma City_12/27/03,Minnesota,2003.0,12/27/03,@ Oklahoma City,104-86,Regular Season,-2.5,1.0,18.0,1.0,15.5,Oklahoma City,Minnesota,4.0,2.0,4.0
42993,Oklahoma City_12/27/07,Boston,2007.0,12/27/07,@ Oklahoma City,        104-96,Regular Season,-10.0,0.0,8.0,1.0,-2.0,Oklahoma City,Boston,0.0,1.0,2.0
42996,Oklahoma City_12/27/10,Oklahoma City,2010.0,12/27/10,Dallas,        93-103,Regular Season,-1.5,0.0,-10.0,0.0,-11.5,Oklahoma City,Dallas,0.0,1.0,9.0
42999,Oklahoma City_12/27/12,Oklahoma City,2012.0,12/27/12,Dallas,        111-105,Regular Season,-10.5,0.0,6.0,1.0,-4.5,Oklahoma City,Dallas,0.0,2.0,2.0
43002,Oklahoma City_12/27/91,Oklahoma City,1991.0,12/27/91,Boston,87-110,Regular Season,-1.5,0.0,-23.0,0.0,-24.5,Oklahoma City,Boston,3.0,0.0,
43003,Oklahoma City_12/27/95,Oklahoma City,1995.0,12/27/95,Denver,99-83,Regular Season,-10.5,1.0,16.0,1.0,5.5,Oklahoma City,Denver,0.0,0.0,
43004,Oklahoma City_12/28/04,Oklahoma City,2004.0,12/28/04,Philadelphia,        107-114,Regular Season,-8.0,0.0,-7.0,0.0,-15.0,Oklahoma City,Philadelphia,1.0,0.0,2.0
43007,Oklahoma City_12/28/93,Oklahoma City,1993.0,12/28/93,Houston,112-97,Regular Season,-5.5,1.0,15.0,1.0,9.5,Oklahoma City,Houston,2.0,2.0,
43008,Oklahoma City_12/28/94,Oklahoma City,1994.0,12/28/94,Philadelphia,121-102,Regular Season,-12.5,1.0,19.0,1.0,6.5,Oklahoma City,Philadelphia,3.0,1.0,
43009,Oklahoma City_12/29/01,Oklahoma City,2001.0,12/29/01,Toronto,101-75,Regular Season,-9.5,1.0,26.0,1.0,16.5,Oklahoma City,Toronto,0.0,1.0,
43010,Oklahoma City_12/29/07,Oklahoma City,2007.0,12/29/07,Minnesota,        109-90,Regular Season,-6.0,1.0,19.0,1.0,13.0,Oklahoma City,Minnesota,0.0,1.0,27.0
43013,Oklahoma City_12/29/08,Phoenix,2008.0,12/29/08,@ Oklahoma City,        110-102,Regular Season,-9.5,0.0,8.0,1.0,-1.5,Oklahoma City,Phoenix,5.0,1.0,11.0
43016,Oklahoma City_12/29/10,Oklahoma City,2010.0,12/29/10,Brooklyn,        114-93,Regular Season,-9.0,1.0,21.0,1.0,12.0,Oklahoma City,Brooklyn,1.0,0.0,9.0
43019,Oklahoma City_12/29/11,Oklahoma City,2011.0,12/29/11,Dallas,        104-102,Regular Season,-5.0,0.0,2.0,1.0,-3.0,Oklahoma City,Dallas,2.0,4.0,3.0
43022,Oklahoma City_12/29/13,Oklahoma City,2013.0,12/29/13,Houston,        117-86,Regular Season,-4.5,1.0,31.0,1.0,26.5,Oklahoma City,Houston,4.0,0.0,1.0
43025,Oklahoma City_12/29/92,Boston,1992.0,12/29/92,@ Oklahoma City,87-111,Regular Season,0.0,0.0,-24.0,0.0,-24.0,Oklahoma City,Boston,0.0,0.0,
43026,Oklahoma City_12/29/95,Oklahoma City,1995.0,12/29/95,Boston,124-85,Regular Season,-12.5,1.0,39.0,1.0,26.5,Oklahoma City,Boston,0.0,0.0,
43027,Oklahoma City_12/29/99,Oklahoma City,1999.0,12/29/99,Sacramento,104-113,Regular Season,-3.0,0.0,-9.0,0.0,-12.0,Oklahoma City,Sacramento,1.0,3.0,
43028,Oklahoma City_12/30/00,Oklahoma City,2000.0,12/30/00,New Orleans,104-102,Regular Season,-3.5,0.0,2.0,1.0,-1.5,Oklahoma City,New Orleans,1.0,1.0,
43029,Oklahoma City_12/31/05,Oklahoma City,2005.0,12/31/05,Memphis,        96-100,Regular Season,-3.0,0.0,-4.0,0.0,-7.0,Oklahoma City,Memphis,2.0,0.0,24.0
43032,Oklahoma City_12/31/06,Oklahoma City,2006.0,12/31/06,Boston,        101-95,Regular Season,-6.5,0.0,6.0,1.0,-0.5,Oklahoma City,Boston,0.0,2.0,22.0
43035,Oklahoma City_12/31/07,Philadelphia,2007.0,12/31/07,@ Oklahoma City,        98-90,Regular Season,-2.0,1.0,8.0,1.0,6.0,Oklahoma City,Philadelphia,0.0,1.0,21.0
43038,Oklahoma City_12/31/08,Golden State,2008.0,12/31/08,@ Oklahoma City,        100-107,Regular Season,-2.0,0.0,-7.0,0.0,-9.0,Oklahoma City,Golden State,2.0,0.0,26.0
43041,Oklahoma City_12/31/09,Oklahoma City,2009.0,12/31/09,Utah,        87-86,Regular Season,-3.0,0.0,1.0,1.0,-2.0,Oklahoma City,Utah,1.0,2.0,13.0
43044,Oklahoma City_12/31/10,Oklahoma City,2010.0,12/31/10,Atlanta,        103-94,Regular Season,-5.0,1.0,9.0,1.0,4.0,Oklahoma City,Atlanta,2.0,0.0,9.0
43047,Oklahoma City_12/31/11,Oklahoma City,2011.0,12/31/11,Phoenix,        107-97,Regular Season,-11.5,0.0,10.0,1.0,-1.5,Oklahoma City,Phoenix,3.0,5.0,3.0
43050,Oklahoma City_12/31/12,Oklahoma City,2012.0,12/31/12,Phoenix,        114-96,Regular Season,-12.5,1.0,18.0,1.0,5.5,Oklahoma City,Phoenix,4.0,0.0,2.0
43053,Oklahoma City_12/31/13,Oklahoma City,2013.0,12/31/13,Portland,        94-98,Regular Season,-6.0,0.0,-4.0,0.0,-10.0,Oklahoma City,Portland,5.0,0.0,1.0
43056,Orlando_01/01/12,Orlando,2011.0,1/1/12,Toronto,        102-96,Regular Season,-11.5,0.0,6.0,1.0,-5.5,Orlando,Toronto,1.0,0.0,5.0
43059,Orlando_01/02/01,Orlando,2000.0,1/2/01,Brooklyn,110-120,Regular Season,-6.0,0.0,-10.0,0.0,-16.0,Orlando,Brooklyn,0.0,1.0,
43060,Orlando_01/02/07,Orlando,2006.0,1/2/07,L.A. Clippers,        91-86,Regular Season,-5.0,0.0,5.0,1.0,0.0,Orlando,L.A. Clippers,0.0,1.0,10.0
43063,Orlando_01/02/08,Orlando,2007.0,1/2/08,Brooklyn,        95-96,Regular Season,-6.0,0.0,-1.0,0.0,-7.0,Orlando,Brooklyn,1.0,4.0,10.0
43066,Orlando_01/02/09,Orlando,2008.0,1/2/09,Miami,        86-76,Regular Season,-8.5,1.0,10.0,1.0,1.5,Orlando,Miami,0.0,0.0,4.0
43069,Orlando_01/02/13,Chicago,2012.0,1/2/13,@ Orlando,        96-94,Regular Season,-3.0,0.0,2.0,1.0,-1.0,Orlando,Chicago,1.0,0.0,10.0
43072,Orlando_01/02/93,Orlando,1992.0,1/2/93,Detroit,97-98,Regular Season,-4.0,0.0,-1.0,0.0,-5.0,Orlando,Detroit,0.0,7.0,
43073,Orlando_01/02/97,Orlando,1996.0,1/2/97,Toronto,96-94,Regular Season,-5.5,0.0,2.0,1.0,-3.5,Orlando,Toronto,0.0,2.0,
43074,Orlando_01/02/98,Cleveland,1997.0,1/2/98,@ Orlando,81-71,Regular Season,-2.5,1.0,10.0,1.0,7.5,Orlando,Cleveland,4.0,1.0,
43075,Orlando_01/03/00,Detroit,1999.0,1/3/00,@ Orlando,118-106,Regular Season,-2.5,1.0,12.0,1.0,9.5,Orlando,Detroit,1.0,3.0,
43076,Orlando_01/03/11,Orlando,2010.0,1/3/11,Golden State,        110-90,Regular Season,-11.0,1.0,20.0,1.0,9.0,Orlando,Golden State,0.0,0.0,6.0
43079,Orlando_01/03/91,Orlando,1990.0,1/3/91,L.A. Clippers,110-108,Regular Season,-4.5,0.0,2.0,1.0,-2.5,Orlando,L.A. Clippers,1.0,3.0,
43080,Orlando_01/03/96,Orlando,1995.0,1/3/96,Toronto,121-110,Regular Season,-15.5,0.0,11.0,1.0,-4.5,Orlando,Toronto,2.0,2.0,
43081,Orlando_01/04/03,Brooklyn,2002.0,1/4/03,@ Orlando,88-83,Regular Season,-3.5,1.0,5.0,1.0,1.5,Orlando,Brooklyn,0.0,1.0,4.0
43084,Orlando_01/04/08,Orlando,2007.0,1/4/08,Houston,        94-96,Regular Season,-5.0,0.0,-2.0,0.0,-7.0,Orlando,Houston,0.0,0.0,10.0
43087,Orlando_01/04/12,Orlando,2011.0,1/4/12,Washington,        103-85,Regular Season,-13.0,1.0,18.0,1.0,5.0,Orlando,Washington,0.0,3.0,5.0
43090,Orlando_01/04/14,Miami,2013.0,1/4/14,@ Orlando,        110-94,Regular Season,-10.0,1.0,16.0,1.0,6.0,Orlando,Miami,0.0,1.0,4.0
43093,Orlando_01/04/95,Orlando,1994.0,1/4/95,Brooklyn,113-110,Regular Season,-14.0,0.0,3.0,1.0,-11.0,Orlando,Brooklyn,0.0,0.0,
43094,Orlando_01/05/00,Orlando,1999.0,1/5/00,Memphis,116-96,Regular Season,-8.0,1.0,20.0,1.0,12.0,Orlando,Memphis,1.0,0.0,
43095,Orlando_01/05/02,Orlando,2001.0,1/5/02,Golden State,118-109,Regular Season,-7.0,1.0,9.0,1.0,2.0,Orlando,Golden State,2.0,1.0,
43096,Orlando_01/05/05,Oklahoma City,2004.0,1/5/05,@ Orlando,        87-105,Regular Season,-3.0,0.0,-18.0,0.0,-21.0,Orlando,Oklahoma City,1.0,3.0,2.0
43099,Orlando_01/05/07,Orlando,2006.0,1/5/07,Charlotte,        106-74,Regular Season,-8.5,1.0,32.0,1.0,23.5,Orlando,Charlotte,4.0,2.0,10.0
43102,Orlando_01/05/11,Orlando,2010.0,1/5/11,Milwaukee,        97-87,Regular Season,-12.0,0.0,10.0,1.0,-2.0,Orlando,Milwaukee,0.0,2.0,6.0
43105,Orlando_01/05/13,New York,2012.0,1/5/13,@ Orlando,        114-106,Regular Season,-6.0,1.0,8.0,1.0,2.0,Orlando,New York,0.0,1.0,6.0
43108,Orlando_01/05/91,San Antonio,1990.0,1/5/91,@ Orlando,107-90,Regular Season,-6.5,1.0,17.0,1.0,10.5,Orlando,San Antonio,2.0,0.0,
43109,Orlando_01/05/93,Orlando,1992.0,1/5/93,Brooklyn,99-102,Regular Season,-4.0,0.0,-3.0,0.0,-7.0,Orlando,Brooklyn,0.0,0.0,
43110,Orlando_01/05/94,Orlando,1993.0,1/5/94,Chicago,105-90,Regular Season,-3.0,1.0,15.0,1.0,12.0,Orlando,Chicago,0.0,0.0,
43111,Orlando_01/05/96,Orlando,1995.0,1/5/96,Oklahoma City,115-93,Regular Season,-6.5,1.0,22.0,1.0,15.5,Orlando,Oklahoma City,1.0,3.0,
43112,Orlando_01/05/98,San Antonio,1997.0,1/5/98,@ Orlando,74-69,Regular Season,-5.5,0.0,5.0,1.0,-0.5,Orlando,San Antonio,0.0,2.0,
43113,Orlando_01/06/03,Orlando,2002.0,1/6/03,New York,103-100,Regular Season,-7.5,0.0,3.0,1.0,-4.5,Orlando,New York,0.0,0.0,16.0
43116,Orlando_01/06/09,Orlando,2008.0,1/6/09,Washington,        89-80,Regular Season,-12.5,0.0,9.0,1.0,-3.5,Orlando,Washington,0.0,1.0,4.0
43119,Orlando_01/06/10,Orlando,2009.0,1/6/10,Toronto,        103-108,Regular Season,-8.0,0.0,-5.0,0.0,-13.0,Orlando,Toronto,1.0,0.0,4.0
43122,Orlando_01/06/12,Orlando,2011.0,1/6/12,Chicago,        83-97,Regular Season,-1.0,0.0,-14.0,0.0,-15.0,Orlando,Chicago,0.0,4.0,5.0
43125,Orlando_01/06/95,Orlando,1994.0,1/6/95,Minnesota,121-99,Regular Season,-16.5,1.0,22.0,1.0,5.5,Orlando,Minnesota,0.0,0.0,
43126,Orlando_01/07/00,New York,1999.0,1/7/00,@ Orlando,94-86,Regular Season,-2.0,1.0,8.0,1.0,6.0,Orlando,New York,4.0,0.0,
43127,Orlando_01/07/02,Orlando,2001.0,1/7/02,Boston,98-87,Regular Season,-4.5,1.0,11.0,1.0,6.5,Orlando,Boston,0.0,1.0,
43128,Orlando_01/07/05,Orlando,2004.0,1/7/05,Charlotte,        111-91,Regular Season,-11.0,1.0,20.0,1.0,9.0,Orlando,Charlotte,0.0,1.0,5.0
43131,Orlando_01/07/06,Orlando,2005.0,1/7/06,Charlotte,        108-92,Regular Season,-4.0,1.0,16.0,1.0,12.0,Orlando,Charlotte,1.0,0.0,26.0
43134,Orlando_01/07/07,Orlando,2006.0,1/7/07,Boston,        87-79,Regular Season,-7.5,1.0,8.0,1.0,0.5,Orlando,Boston,2.0,0.0,10.0
43137,Orlando_01/07/11,Orlando,2010.0,1/7/11,Houston,        110-95,Regular Season,-9.0,1.0,15.0,1.0,6.0,Orlando,Houston,4.0,1.0,6.0
43140,Orlando_01/07/91,Orlando,1990.0,1/7/91,Sacramento,111-83,Regular Season,-6.0,1.0,28.0,1.0,22.0,Orlando,Sacramento,0.0,1.0,
43141,Orlando_01/07/97,Orlando,1996.0,1/7/97,Philadelphia,109-88,Regular Season,-8.0,1.0,21.0,1.0,13.0,Orlando,Philadelphia,0.0,0.0,
43142,Orlando_01/08/03,Orlando,2002.0,1/8/03,Houston,81-91,Regular Season,-3.5,0.0,-10.0,0.0,-13.5,Orlando,Houston,0.0,1.0,16.0
43145,Orlando_01/08/05,Orlando,2004.0,1/8/05,Brooklyn,        104-101,Regular Season,-8.0,0.0,3.0,1.0,-5.0,Orlando,Brooklyn,0.0,1.0,5.0
43148,Orlando_01/08/93,New York,1992.0,1/8/93,@ Orlando,94-95,Regular Season,0.0,0.0,-1.0,0.0,-1.0,Orlando,New York,0.0,1.0,
43149,Orlando_01/08/94,Orlando,1993.0,1/8/94,Washington,112-101,Regular Season,-12.0,0.0,11.0,1.0,-1.0,Orlando,Washington,2.0,0.0,
43150,Orlando_01/09/01,San Antonio,2000.0,1/9/01,@ Orlando,112-95,Regular Season,-3.5,1.0,17.0,1.0,13.5,Orlando,San Antonio,0.0,0.0,
43151,Orlando_01/09/04,Orlando,2003.0,1/9/04,Washington,103-92,Regular Season,-5.0,1.0,11.0,1.0,6.0,Orlando,Washington,1.0,0.0,27.0
43154,Orlando_01/09/09,Orlando,2008.0,1/9/09,Atlanta,        121-87,Regular Season,-5.0,1.0,34.0,1.0,29.0,Orlando,Atlanta,3.0,1.0,4.0
43157,Orlando_01/09/10,Orlando,2009.0,1/9/10,Atlanta,        113-81,Regular Season,-3.5,1.0,32.0,1.0,28.5,Orlando,Atlanta,4.0,0.0,4.0
43160,Orlando_01/09/91,Orlando,1990.0,1/9/91,Minnesota,103-111,Regular Season,-6.0,0.0,-8.0,0.0,-14.0,Orlando,Minnesota,0.0,0.0,
43161,Orlando_01/09/93,Orlando,1992.0,1/9/93,Indiana,88-104,Regular Season,-4.0,0.0,-16.0,0.0,-20.0,Orlando,Indiana,0.0,0.0,
43162,Orlando_01/09/96,Brooklyn,1995.0,1/9/96,@ Orlando,84-92,Regular Season,,,-8.0,0.0,,Orlando,Brooklyn,1.0,0.0,
43163,Orlando_01/09/97,Orlando,1996.0,1/9/97,Atlanta,92-97,Regular Season,-3.0,0.0,-5.0,0.0,-8.0,Orlando,Atlanta,1.0,2.0,
43164,Orlando_01/10/00,Orlando,1999.0,1/10/00,Brooklyn,94-100,Regular Season,-3.5,0.0,-6.0,0.0,-9.5,Orlando,Brooklyn,2.0,0.0,
43165,Orlando_01/10/03,Orlando,2002.0,1/10/03,Indiana,97-101,Regular Season,-2.0,0.0,-4.0,0.0,-6.0,Orlando,Indiana,0.0,0.0,16.0
43168,Orlando_01/10/94,Orlando,1993.0,1/10/94,Houston,115-100,Regular Season,0.0,1.0,15.0,1.0,15.0,Orlando,Houston,0.0,3.0,
43169,Orlando_01/10/98,Orlando,1997.0,1/10/98,Boston,90-82,Regular Season,-4.0,1.0,8.0,1.0,4.0,Orlando,Boston,0.0,0.0,
43170,Orlando_01/11/02,Orlando,2001.0,1/11/02,Portland,84-92,Regular Season,-8.0,0.0,-8.0,0.0,-16.0,Orlando,Portland,2.0,1.0,
43171,Orlando_01/11/95,Orlando,1994.0,1/11/95,Detroit,124-107,Regular Season,-17.0,0.0,17.0,1.0,0.0,Orlando,Detroit,0.0,0.0,
43172,Orlando_01/12/02,Brooklyn,2001.0,1/12/02,@ Orlando,91-85,Regular Season,-2.5,1.0,6.0,1.0,3.5,Orlando,Brooklyn,0.0,0.0,
43173,Orlando_01/12/04,Philadelphia,2003.0,1/12/04,@ Orlando,87-82,Regular Season,-1.5,1.0,5.0,1.0,3.5,Orlando,Philadelphia,0.0,1.0,21.0
43176,Orlando_01/12/93,Chicago,1992.0,1/12/93,@ Orlando,122-106,Regular Season,-5.0,1.0,16.0,1.0,11.0,Orlando,Chicago,1.0,0.0,
43177,Orlando_01/12/94,Orlando,1993.0,1/12/94,Cleveland,109-118,Regular Season,-5.5,0.0,-9.0,0.0,-14.5,Orlando,Cleveland,0.0,0.0,
43178,Orlando_01/12/96,Orlando,1995.0,1/12/96,Milwaukee,93-88,Regular Season,,,5.0,1.0,,Orlando,Milwaukee,0.0,0.0,
43179,Orlando_01/13/01,Orlando,2000.0,1/13/01,Golden State,111-94,Regular Season,-8.0,1.0,17.0,1.0,9.0,Orlando,Golden State,2.0,0.0,
43180,Orlando_01/13/03,Orlando,2002.0,1/13/03,Detroit,86-101,Regular Season,-2.0,0.0,-15.0,0.0,-17.0,Orlando,Detroit,3.0,1.0,16.0
43183,Orlando_01/14/02,Dallas,2001.0,1/14/02,@ Orlando,87-113,Regular Season,-1.0,0.0,-26.0,0.0,-27.0,Orlando,Dallas,0.0,0.0,
43184,Orlando_01/14/92,New York,1991.0,1/14/92,@ Orlando,115-111,Regular Season,-8.0,0.0,4.0,1.0,-4.0,Orlando,New York,0.0,0.0,
43185,Orlando_01/14/95,Orlando,1994.0,1/14/95,Philadelphia,91-70,Regular Season,-15.0,1.0,21.0,1.0,6.0,Orlando,Philadelphia,0.0,1.0,
43186,Orlando_01/15/00,Indiana,1999.0,1/15/00,@ Orlando,96-89,Regular Season,-4.5,1.0,7.0,1.0,2.5,Orlando,Indiana,1.0,0.0,
43187,Orlando_01/15/01,Orlando,2000.0,1/15/01,Chicago,113-104,Regular Season,-10.5,0.0,9.0,1.0,-1.5,Orlando,Chicago,0.0,0.0,
43188,Orlando_01/15/08,Orlando,2007.0,1/15/08,Chicago,        102-88,Regular Season,-6.5,1.0,14.0,1.0,7.5,Orlando,Chicago,0.0,2.0,11.0
