,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
111,Atlanta_01/19/04,Indiana,2003,1/19/04,@ Atlanta,100-97,Regular Season,-6,0,3,1,-3,Atlanta,Indiana,0,0
112,Atlanta_01/19/07,Atlanta,2006,1/19/07,Charlotte,        75-96,Regular Season,-5.5,0,-21,0,-26.5,Atlanta,Charlotte,0,0
113,Atlanta_01/19/09,Atlanta,2008,1/19/09,Toronto,        87-84,Regular Season,-7.5,0,3,1,-4.5,Atlanta,Toronto,0,0
114,Atlanta_01/19/13,San Antonio,2012,1/19/13,@ Atlanta,        98-93,Regular Season,-3.5,1,5,1,1.5,Atlanta,San Antonio,2,1
115,Atlanta_01/19/91,Atlanta,1990,1/19/91,Brooklyn,114-84,Regular Season,-11,1,30,1,19,Atlanta,Brooklyn,0,1
116,Atlanta_01/19/94,Atlanta,1993,1/19/94,Golden State,119-120,Regular Season,-6,0,-1,0,-7,Atlanta,Golden State,3,0
117,Atlanta_01/20/03,Atlanta,2002,1/20/03,Chicago,102-115,Regular Season,-4.5,0,-13,0,-17.5,Atlanta,Chicago,0,0
118,Atlanta_01/20/06,Milwaukee,2005,1/20/06,@ Atlanta,        118-102,Regular Season,-2,1,16,1,14,Atlanta,Milwaukee,0,0
119,Atlanta_01/20/10,Atlanta,2009,1/20/10,Sacramento,        108-97,Regular Season,-9,1,11,1,2,Atlanta,Sacramento,1,0
120,Atlanta_01/20/14,Miami,2013,1/20/14,@ Atlanta,        114-121,Regular Season,-4.5,0,-7,0,-11.5,Atlanta,Miami,0,0
121,Atlanta_01/20/96,Atlanta,1995,1/20/96,Miami,98-78,Regular Season,-4,1,20,1,16,Atlanta,Miami,0,0
122,Atlanta_01/20/97,Atlanta,1996,1/20/97,New Orleans,106-97,Regular Season,-7.5,1,9,1,1.5,Atlanta,New Orleans,1,0
123,Atlanta_01/20/98,Atlanta,1997,1/20/98,Milwaukee,103-93,Regular Season,-8.5,1,10,1,1.5,Atlanta,Milwaukee,2,1
124,Atlanta_01/21/02,Houston,2001,1/21/02,@ Atlanta,91-95,Regular Season,-1,0,-4,0,-5,Atlanta,Houston,1,0
125,Atlanta_01/21/04,Atlanta,2003,1/21/04,Chicago,97-87,Regular Season,-4.5,1,10,1,5.5,Atlanta,Chicago,1,0
126,Atlanta_01/21/08,Atlanta,2007,1/21/08,Portland,        109-111,Regular Season,-1,0,-2,0,-3,Atlanta,Portland,0,5
127,Atlanta_01/21/11,Atlanta,2010,1/21/11,New Orleans,        59-100,Regular Season,-3.5,0,-41,0,-44.5,Atlanta,New Orleans,0,3
128,Atlanta_01/21/12,Atlanta,2011,1/21/12,Cleveland,        121-94,Regular Season,-7.5,1,27,1,19.5,Atlanta,Cleveland,0,0
129,Atlanta_01/21/13,Atlanta,2012,1/21/13,Minnesota,        104-96,Regular Season,-8,0,8,1,0,Atlanta,Minnesota,1,0
130,Atlanta_01/21/94,Atlanta,1993,1/21/94,Brooklyn,111-113,Regular Season,-8.5,0,-2,0,-10.5,Atlanta,Brooklyn,3,0
131,Atlanta_01/21/95,Atlanta,1994,1/21/95,Boston,89-84,Regular Season,-6,0,5,1,-1,Atlanta,Boston,0,1
132,Atlanta_01/22/00,Atlanta,1999,1/22/00,Washington,111-93,Regular Season,-6,1,18,1,12,Atlanta,Washington,0,0
133,Atlanta_01/22/03,Portland,2002,1/22/03,@ Atlanta,112-110,Regular Season,-3,0,2,1,-1,Atlanta,Portland,1,0
134,Atlanta_01/22/05,Boston,2004,1/22/05,@ Atlanta,        96-100,Regular Season,-3.5,0,-4,0,-7.5,Atlanta,Boston,0,0
135,Atlanta_01/22/10,Atlanta,2009,1/22/10,Charlotte,        103-89,Regular Season,-6.5,1,14,1,7.5,Atlanta,Charlotte,1,0
136,Atlanta_01/22/91,Atlanta,1990,1/22/91,Miami,118-107,Regular Season,-14.5,0,11,1,-3.5,Atlanta,Miami,4,0
137,Atlanta_01/22/93,Atlanta,1992,1/22/93,Brooklyn,109-91,Regular Season,-3,1,18,1,15,Atlanta,Brooklyn,0,3
138,Atlanta_01/22/96,Atlanta,1995,1/22/96,Houston,105-96,Regular Season,-1,1,9,1,8,Atlanta,Houston,2,0
139,Atlanta_01/23/04,New York,2003,1/23/04,@ Atlanta,96-94,Regular Season,-3,0,2,1,-1,Atlanta,New York,1,0
140,Atlanta_01/23/06,Indiana,2005,1/23/06,@ Atlanta,        94-104,Regular Season,-5,0,-10,0,-15,Atlanta,Indiana,0,0
141,Atlanta_01/23/09,Atlanta,2008,1/23/09,Milwaukee,        117-87,Regular Season,-5.5,1,30,1,24.5,Atlanta,Milwaukee,0,0
142,Atlanta_01/23/93,Phoenix,1992,1/23/93,@ Atlanta,110-91,Regular Season,-4.5,1,19,1,14.5,Atlanta,Phoenix,1,0
143,Atlanta_01/23/98,Atlanta,1997,1/23/98,Boston,85-89,Regular Season,-10,0,-4,0,-14,Atlanta,Boston,1,2
144,Atlanta_01/24/03,Sacramento,2002,1/24/03,@ Atlanta,104-115,Regular Season,-7,0,-11,0,-18,Atlanta,Sacramento,1,0
145,Atlanta_01/24/05,Chicago,2004,1/24/05,@ Atlanta,        107-82,Regular Season,-4,1,25,1,21,Atlanta,Chicago,1,1
146,Atlanta_01/24/14,San Antonio,2013,1/24/14,@ Atlanta,        105-79,Regular Season,-5,1,26,1,21,Atlanta,San Antonio,2,1
147,Atlanta_01/24/97,Atlanta,1996,1/24/97,Washington,117-105,Regular Season,-5.5,1,12,1,6.5,Atlanta,Washington,0,0
148,Atlanta_01/24/98,Atlanta,1997,1/24/98,Portland,77-92,Regular Season,-7,0,-15,0,-22,Atlanta,Portland,1,1
149,Atlanta_01/25/00,Atlanta,1999,1/25/00,Chicago,96-89,Regular Season,-8.5,0,7,1,-1.5,Atlanta,Chicago,0,1
150,Atlanta_01/25/02,Detroit,2001,1/25/02,@ Atlanta,107-90,Regular Season,-6,1,17,1,11,Atlanta,Detroit,0,1
151,Atlanta_01/25/06,Cleveland,2005,1/25/06,@ Atlanta,        106-97,Regular Season,-5,1,9,1,4,Atlanta,Cleveland,0,2
152,Atlanta_01/25/09,Atlanta,2008,1/25/09,Phoenix,        99-104,Regular Season,-4,0,-5,0,-9,Atlanta,Phoenix,1,2
153,Atlanta_01/25/13,Atlanta,2012,1/25/13,Boston,        123-111,Regular Season,-5.5,1,12,1,6.5,Atlanta,Boston,0,4
154,Atlanta_01/25/93,Atlanta,1992,1/25/93,Sacramento,117-106,Regular Season,-5.5,1,11,1,5.5,Atlanta,Sacramento,2,0
155,Atlanta_01/25/97,Atlanta,1996,1/25/97,Boston,95-90,Regular Season,-12,0,5,1,-7,Atlanta,Boston,5,0
156,Atlanta_01/26/01,Atlanta,2000,1/26/01,Washington,99-106,Regular Season,-4,0,-7,0,-11,Atlanta,Washington,6,0
157,Atlanta_01/26/94,Atlanta,1993,1/26/94,Phoenix,116-107,Regular Season,-9,0,9,1,0,Atlanta,Phoenix,0,2
158,Atlanta_01/26/95,Atlanta,1994,1/26/95,Cleveland,68-77,Regular Season,-2,0,-9,0,-11,Atlanta,Cleveland,1,0
159,Atlanta_01/26/96,Orlando,1995,1/26/96,@ Atlanta,84-96,Regular Season,-2,0,-12,0,-14,Atlanta,Orlando,3,0
160,Atlanta_01/26/98,Atlanta,1997,1/26/98,Phoenix,91-96,Regular Season,-5,0,-5,0,-10,Atlanta,Phoenix,1,2
161,Atlanta_01/27/04,Atlanta,2003,1/27/04,Phoenix,85-89,Regular Season,-3,0,-4,0,-7,Atlanta,Phoenix,1,0
162,Atlanta_01/27/06,Phoenix,2005,1/27/06,@ Atlanta,        110-106,Regular Season,-6.5,0,4,1,-2.5,Atlanta,Phoenix,1,0
163,Atlanta_01/27/07,Atlanta,2006,1/27/07,Philadelphia,        89-104,Regular Season,-4.5,0,-15,0,-19.5,Atlanta,Philadelphia,0,0
164,Atlanta_01/28/00,New York,1999,1/28/00,@ Atlanta,96-98,Regular Season,-2.5,0,-2,0,-4.5,Atlanta,New York,1,0
165,Atlanta_01/28/05,Miami,2004,1/28/05,@ Atlanta,        106-96,Regular Season,-9.5,1,10,1,0.5,Atlanta,Miami,0,0
166,Atlanta_01/28/11,Atlanta,2010,1/28/11,New York,        111-102,Regular Season,-7,1,9,1,2,Atlanta,New York,0,0
167,Atlanta_01/28/92,Atlanta,1991,1/28/92,Philadelphia,110-109,Regular Season,-3.5,0,1,1,-2.5,Atlanta,Philadelphia,0,0
168,Atlanta_01/28/95,New Orleans,1994,1/28/95,@ Atlanta,102-93,Regular Season,0,1,9,1,9,Atlanta,New Orleans,0,3
169,Atlanta_01/29/01,Phoenix,2000,1/29/01,@ Atlanta,95-82,Regular Season,-4,1,13,1,9,Atlanta,Phoenix,0,0
170,Atlanta_01/29/02,L.A. Lakers,2001,1/29/02,@ Atlanta,127-93,Regular Season,-10,1,34,1,24,Atlanta,L.A. Lakers,0,0
